systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B307;;;PAC/RUS;b.307;
b_water;_boundaries;B308;;;PAC/RUS;b.308;
b_water;_boundaries;B309;;;PAC,ARC/RUS;b.309;
b_water;_boundaries;B310;;;ARC/RUS;b.310;
b_water;_boundaries;B311;;;ARC/RUS;b.311;
b_water;_boundaries;B312;;;ARC/RUS;b.312;
b_water;_boundaries;B313;;;ARC/RUS,FIN,NOR,SWE;b.313;
b_water;_boundaries;B314;;;Baltic Sea/SWE,FIN,RUS,EST,LVA,LTU,POL;b.314;
b_water;_boundaries;B315A;;;Baltic,ATL/POL,DEU;b.315a;
b_water;_boundaries;B315C;;;Baltic,ATL/DEU,NLD,BEL,FRA;b.315c;
b_water;_boundaries;B316;;;ATL,Mediterranean/FRA,ESP,PRT,ITA;b.316;
b_water;_boundaries;B317;;;Mediterranean/ITA,SVN,KRV,BIH,MNE,ALB,GRC;b.317;
b_water;_boundaries;B318;;;Mediterranean/GRC,TUR,SYR,LBN,ISR,PSE,EGY,LBY;b.318;
b_water;_boundaries;B319;;;Mediterranean,ATL/LBY,TUN,MAR,ESH,MRT;b.319;
b_water;_boundaries;B320;;;ATL/MRT,SEN,GMB,GNB,GIN,SLE,LBR,CIV,GHA,TGO,BEN,NGA,CMR,GAB;b.320;
b_water;_boundaries;B321;;;Lac Tchad/TCD,NER,NGA;b.321;
b_water;_boundaries;B322;;;Lake Victoria/UGA,TZA;b.322;
b_water;_boundaries;B323;;;BDI,COD,ZMB,TZA/Lake Tanganyika;b.323;
b_water;_boundaries;B324;;;MWI,TZA,MOZ/Lake Malawi;b.324;
b_water;_boundaries;B325;;;Black Sea/TUR,BGR,ROU,MDA,UKR,RUS,GEO;b.325;
b_water;_boundaries;B326;;;Sea of Azov/UKR,RUS;b.326;
b_water;_boundaries;B327;;;Caspian Sea/RUS,TKM,IRN,AZE;b.327;
b_water;_boundaries;B328;;;Aral Sea/KAZ,UZB;b.328;
b_water;_boundaries;B329;;;Lake Balqash/KAZ;b.329;
b_water;_boundaries;B330;;;Lake ?/RUS;b.330;
b_water;_boundaries;B331;;;Ladozhskoye Ozero/RUS;b.331;
b_water;_boundaries;B332;;;Onezhskoye Ozero/RUS;b.332;
b_water;_boundaries;B333;;;MDG/Indian;b.333;
b_water;_boundaries;B334;;;REU/Indian;b.334;
b_water;_boundaries;B335;;;MUS/Indian;b.335;
b_water;_boundaries;B336;;;YEM-Socotra/Indian;b.336;
b_water;_boundaries;B337;;;ATF-Grande Terre/SOU;b.337;
b_water;_boundaries;B340;;;IDN-Pulau Nias/Indian;b.340;
b_water;_boundaries;B341;;;IDN-Pulau Siberut/Indian;b.341;
b_water;_boundaries;B342;;;LKA/Indian;b.342;
b_water;_boundaries;B343;;;CHN-Hainan/PAC;b.343;
b_water;_boundaries;B344;;;TWN/PAC;b.344;
