systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
boundaries;_boundaries;B681;9;(44.83,-80.21);;b.681;
boundaries;_boundaries;B682;12;(42.76,-82.51);;b.682;
boundaries;_boundaries;B683;43;(42.49,-82.67);;b.683;
boundaries;_boundaries;B684;5;(42.24,-83.09);;b.684;
boundaries;_boundaries;B685;14;(41.95,-83.28);;b.685;
boundaries;_boundaries;B686;44;(41.56,-83.01);;b.686;
boundaries;_boundaries;B687;66;(42.24,-80.28);;b.687;
boundaries;_boundaries;B688;65;(42.47,-81.18);;b.688;
boundaries;_boundaries;B689;13;(43.07,-79.01);;b.689;
boundaries;_boundaries;B690;60;(43.49,-77.49);;b.690;
boundaries;_boundaries;B691;59;(44.12,-76.65);;b.691;
boundaries;_boundaries;B692;36;(43.81,-78.64);;b.692;
boundaries;_boundaries;B693;9;(44.15,-76.72);;b.693;
boundaries;_boundaries;B694;18;(44.17,-76.38);;b.694;
boundaries;_boundaries;B695;6;(44.27,-76.12);;b.695;
boundaries;_boundaries;B696;9;(44.86,-75.18);;b.696;
boundaries;_boundaries;B697;7;(46.33,-70.17);;b.697;
boundaries;_boundaries;B698;23;(47.28,-68.50);;b.698;
boundaries;_boundaries;B699;26;(45.45,-67.48);;b.699;
boundaries;_boundaries;B700;29;(45.53,-92.69);;b.700;
boundaries;_boundaries;B701;38;(45.66,-88.03);;b.701;
boundaries;_boundaries;B702;8;(46.49,-90.28);;b.702;
boundaries;_boundaries;B703;54;(44.38,-73.27);;b.703;
boundaries;_boundaries;B704;53;(44.62,-73.36);;b.704;
boundaries;_boundaries;B705;5;(44.87,-73.35);;b.705;
boundaries;_boundaries;B706;47;(43.88,-72.03);USA-VT/NH;b.706;
boundaries;_boundaries;B707;12;(43.33,-70.90);;b.707;
boundaries;_boundaries;B708;71;(24.76,-78.09);;b.708;
boundaries;_boundaries;B709;10;(24.23,-77.95);;b.709;
boundaries;_boundaries;B710;12;(24.20,-77.91);;b.710;
boundaries;_boundaries;B711;7;(24.34,-77.74);;b.711;
boundaries;_boundaries;B712;45;(24.01,-77.72);;b.712;
boundaries;_boundaries;B713;17;(25.03,-77.43);;b.713;
boundaries;_boundaries;B714;53;(26.63,-78.48);;b.714;
boundaries;_boundaries;B715;6;(26.59,-77.87);;b.715;
boundaries;_boundaries;B716;4;(26.57,-77.83);;b.716;
boundaries;_boundaries;B717;7;(26.31,-77.58);;b.717;
boundaries;_boundaries;B718;87;(26.49,-77.32);;b.718;
boundaries;_boundaries;B719;19;(25.49,-76.68);;b.719;
boundaries;_boundaries;B720;54;(25.05,-76.27);;b.720;
boundaries;_boundaries;B721;43;(24.38,-75.50);;b.721;
